word,frequency
sword,4
eastward,4
move,4
tied,4
tension,4
instead,4
blowing,4
Not,4
May,4
stem,4
remembered,4
Nothing,4
jerked,4
showing,4
shape,4
lower,4
yesterday,4
shirt,4
itself,4
solid,4
raw,4
resting,4
ran,4
touch,4
gills,4
eaten,4
added,4
built,4
slipped,4
Yankees,4
risen,4
house,4
food,4
taut,4
broke,4
suddenly,4
followed,4
wild,4
lurch,4
further,4
righted,4
gunwale,4
walked,4
trying,4
broken,4
lashing,4
noon,4
easily,4
swim,4
struck,4
death,4
newspaper,4
cast,4
west,4
stupid,4
black,4
slow,4
sat,4
sad,4
butt,4
anyone,4
carry,4
opened,4
happen,4
years,4
live,4
box,4
quick,4
leave,4
chair,4
mile,4
phosphorescence,4
commenced,4
Many,4
war,4
afternoon,4
First,4
Think,4
filaments,4
ice,4
Also,4
shadow,4
greatest,4
furled,4
Tell,4
planking,4
catch,4
confident,4
quickly,4
smelled,4
best,4
rice,4
Santiago,4
September,4
wanted,4
free,4
laid,4
order,4
All,4
jumping,4
beach,4
clubbed,4
Our,4
room,4
excellent,4
arms,4
Hail,4
dry,4
beaten,4
lavender,4
every,4
understand,3
friends,3
cruel,3
noticed,3
tiny,3
worthy,3
smoothly,3
glare,3
gaining,3
heel,3
loss,3
increased,3
wet,3
sets,3
sheath,3
rigged,3
harder,3
novel,3
Finally,3
plankton,3
Islands,3
bought,3
prayers,3
stuff,3
Because,3
gray,3
dorsal,3
pectoral,3
able,3
clearly,3
gentle,3
tonight,3
wrapped,3
ask,3
prepare,3
fathom,3
doing,3
thwart,3
shaking,3
intelligent,3
ship,3
panic,3
six,3
sit,3
chop,3
slip,3
pieces,3
sort,3
themselves,3
scythe,3
stiff,3
putting,3
wished,3
sent,3
rudder,3
young,3
hunger,3
galanos,3
depth,3
age,3
fished,3
backbone,3
astern,3
hoped,3
mountains,3
spat,3
question,3
drifted,3
use,3
jumps,3
spring,3
Pedrico,3
tiring,3
crying,3
older,3
leaning,3
match,3
War,3
simple,3
whole,3
became,3
attention,3
won,3
overboard,3
bare,3
fine,3
gold,3
play,3
sell,3
fillets,3
shifted,3
heads,3
everyone,3
stopped,3
someone,3
walls,3
paper,3
shade,3
rather,3
airplane,3
Tomorrow,3
Fathers,3
horses,3
wiped,3
pick,3
hasn,3
movement,3
clock,3
stood,3
pass,3
floated,3
sitting,3
woman,3
chewing,3
resolution,3
wife,3
sardine,3
teeth,3
steered,3
rubbed,3
taste,3
rush,3
Remember,3
quietly,3
throw,3
bettors,3
thinking,3
slanting,3
money,3
noble,3
different,3
sleeping,3
shaft,3
sound,3
careful,3
gripped,3
thousand,3
hardly,3
cramps,3
among,3
quiet,3
killing,3
outside,3
ruined,3
dentuso,3
corner,3
bright,3
butchered,3
sunset,3
uncramp,3
Good,3
skinned,3
sailing,3
prisms,3
She,3
happened,3
hot,3
thank,3
eight,3
Who,3
cat,3
fly,3
market,3
During,3
Ford,3
run,3
dried,3
brother,3
choice,3
finally,3
skin,3
manager,3
baited,3
Virgin,3
towing,3
raised,3
Still,3
months,3
newspapers,3
hills,3
yet,3
Thank,3
mother,3
clicking,3
cans,3
changed,3
seven,3
speak,3
spear,3
Besides,3
finger,3
decided,3
Marys,3
steal,3
softly,3
rowing,3
coast,3
watch,3
Big,3
plenty,3
chest,3
endure,3
needed,3
fiction,3
carcass,3
Rest,3
schools,3
Even,3
keeps,3
anymore,3
wrong,3
less,3
loosen,3
warm,3
brings,3
golden,3
punishment,3
poison,3
force,3
rise,3
pride,3
patched,3
patches,3
Spanish,2
nourishment,2
Never,2
dressed,2
trailing,2
ing,2
lived,2
pig,2
devise,2
empty,2
whether,2
shank,2
biggest,2
Most,2
promise,2
Two,2
own,2
withdrew,2
weaving,2
snapped,2
Inside,2
leader,2
noose,2
hissing,2
proper,2
become,2
crushed,2
gutted,2
fighting,2
banging,2
reflection,2
slave,2
gets,2
inch,2
greater,2
hoisted,2
phosphorescent,2
Brooklyn,2
Get,2
Christ,2
unclear,2
swallow,2
opening,2
ends,2
Could,2
neither,2
convince,2
placed,2
closer,2
desperate,2
dangerous,2
Stories,2
handsome,2
attained,2
jaw,2
rough,2
planks,2
Some,2
Galanos,2
why,2
Detroit,2
waken,2
comfortably,2
palms,2
painful,2
shrimps,2
powerful,2
south,2
scars,2
yard,2
steering,2
surely,2
completely,2
spot,2
Very,2
bat,2
looks,2
Cienfuegos,2
thigh,2
stop,2
bones,2
slit,2
wedge,2
closing,2
thin,2
women,2
sharply,2
carrying,2
few,2
cloud,2
names,2
climb,2
defeat,2
Back,2
poured,2
Stream,2
Jesus,2
referees,2
waiting,2
waking,2
bleeding,2
noted,2
continued,2
spoon,2
friendly,2
seemed,2
cheerful,2
draw,2
swirl,2
Mary,2
backs,2
Sargasso,2
flow,2
pencil,2
Dolphin,2
cramping,2
raising,2
Every,2
Everything,2
nonsense,2
forearms,2
straightened,2
prove,2
faith,2
stew,2
rum,2
pale,2
palm,2
shovel,2
Last,2
Manolin,2
guano,2
worry,2
cheek,2
motionless,2
timid,2
cumulus,2
weapon,2
backing,2
pack,2
loop,2
replaced,2
lives,2
whatever,2
else,2
flight,2
firm,2
proprietor,2
hitting,2
raise,2
village,2
simply,2
lightness,2
sold,2
knowing,2
burned,2
probably,2
mechanically,2
art,2
delicately,2
double,2
cry,2
beautifully,2
enemy,2
plan,2
depths,2
reach,2
finding,2
cleaned,2
livers,2
game,2
storm,2
wonderful,2
least,2
twenty,2
hawks,2
solidly,2
rises,2
pleasant,2
story,2
gut,2
drifting,2
safety,2
pivoted,2
beyond,2
desperately,2
bigger,2
iridescent,2
vomit,2
return,2
rapier,2
pray,2
suffer,2
playing,2
suppose,2
salted,2
mala,2
Nor,2
middle,2
weighed,2
armed,2
backed,2
shouldn,2
Pull,2
destroyed,2
returned,2
past,2
Should,2
sank,2
sand,2
joined,2
fall,2
worse,2
hunting,2
etching,2
sung,2
month,2
tricks,2
flattened,2
drift,2
poor,2
bubble,2
dreaming,2
mean,2
island,2
stone,2
measuring,2
spurs,2
slice,2
docks,2
read,2
slanted,2
parts,2
blow,2
Bad,2
traps,2
Clear,2
week,2
movements,2
punched,2
uncramped,2
forefinger,2
myself,2
