word,frequency
Good,21
foot,21
struck,21
ground,21
leg,21
lift,21
hill,21
moon,21
laid,21
party,21
Nor,21
drop,21
golden,21
Tip,20
rise,20
begin,20
work,20
Kevin,20
sit,20
corner,20
lot,20
cannot,20
price,20
cat,20
curse,20
loved,20
fresh,20
hen,20
wise,20
blood,20
felt,20
space,20
indeed,20
line,20
people,20
paper,20
bet,20
cause,20
silence,20
lived,20
close,20
caught,20
asking,20
worth,20
become,20
perfect,20
self,20
crown,20
dozen,20
waiting,19
fond,19
queen,19
writing,19
hole,19
bottle,19
milk,19
mad,19
nay,19
odd,19
power,19
alone,19
swear,19
After,19
sagd,19
money,19
becoming,19
Shem,19
suit,19
Michael,19
large,19
several,19
street,19
secret,19
luck,19
nine,19
theirs,19
date,19
spot,19
beside,19
wonder,19
yes,19
Gripes,19
lips,19
scene,19
eleven,19
chap,19
High,18
fat,18
wood,18
wide,18
bar,18
arms,18
piece,18
able,18
front,18
clean,18
trouble,18
Still,18
mid,18
simply,18
deed,18
dog,18
throw,18
listening,18
thick,18
drink,18
truth,18
race,18
fast,18
Jute,18
falls,18
stood,18
form,18
Their,18
listen,18
perhaps,18
Thou,18
sun,18
grass,18
miss,18
heavy,18
Mookse,18
didn,18
honour,18
cup,18
double,17
speech,17
question,17
turning,17
effect,17
state,17
business,17
Give,17
write,17
devil,17
Mutt,17
goat,17
pot,17
ancient,17
Chapter,17
shot,17
tall,17
held,17
takes,17
truly,17
band,17
highly,17
daughter,17
House,17
inside,17
tea,17
pro,17
passing,17
carry,17
maid,17
beg,17
ass,17
else,17
darling,17
try,17
future,17
nought,17
meaning,17
cash,17
watch,17
sitting,17
across,17
third,17
safe,17
length,17
pull,17
following,17
Adam,16
art,16
sons,16
blow,16
memory,16
pig,16
Though,16
fly,16
began,16
talk,16
Hear,16
bride,16
ladies,16
falling,16
John,16
beauty,16
sin,16
everything,16
hearing,16
bull,16
least,16
seem,16
glory,16
Finn,16
hell,16
master,16
waves,16
nation,16
tomorrow,16
Three,16
Such,16
hath,16
national,16
shame,16
husband,16
sister,16
led,16
bird,16
fain,16
twas,16
rising,16
later,16
bridge,16
bog,16
pool,16
Woman,16
Stop,16
yous,16
bell,16
dirty,16
wants,16
ham,16
music,16
weeping,15
hit,15
cross,15
stick,15
Since,15
hearts,15
catch,15
ran,15
wanted,15
bear,15
beat,15
chief,15
meeting,15
Poor,15
Hill,15
laughing,15
die,15
lies,15
shake,15
Dear,15
wore,15
chance,15
forgetting,15
salt,15
sad,15
hers,15
van,15
feed,15
style,15
court,15
duty,15
Browne,15
lamp,15
common,15
blessed,15
page,15
cheeks,15
boots,15
dream,15
Mary,15
farther,15
bank,15
gold,15
table,15
sore,15
blank,15
health,15
pet,15
kick,15
Matt,15
cloud,15
faith,15
real,15
Even,15
send,15
beautiful,15
prize,15
pleased,15
Livia,15
leaving,15
cast,15
quiet,15
Jaun,15
amid,15
room,15
stout,15
grey,15
jolly,15
start,15
replied,15
clock,15
small,15
leap,14
dumb,14
fancy,14
loves,14
bold,14
presents,14
plays,14
notice,14
Would,14
thin,14
burning,14
easy,14
pity,14
nights,14
gives,14
cool,14
hung,14
account,14
oil,14
seek,14
pride,14
ware,14
reason,14
smell,14
calling,14
sigh,14
sod,14
foul,14
due,14
married,14
talking,14
search,14
according,14
language,14
grow,14
ship,14
fields,14
seeing,14
Mind,14
doubt,14
tear,14
daughters,14
week,14
jinnies,14
cock,14
tells,14
learned,14
grave,14
Chorus,14
lass,14
learn,14
Lady,14
roll,14
split,14
Him,14
became,13
calls,13
lines,13
youth,13
everybody,13
wail,13
saved,13
singing,13
couldn,13
worse,13
glass,13
Muta,13
awful,13
wear,13
plenty,13
rann,13
pattern,13
anyone,13
teeth,13
Humphrey,13
Ann,13
blame,13
sazd,13
brothers,13
flesh,13
eve,13
Every,13
stones,13
gets,13
Juva,13
joy,13
proud,13
heat,13
apart,13
Hold,13
god,13
twenty,13
coat,13
touching,13
written,13
likes,13
silent,13
window,13
flash,13
